,titulo,anio,duracion,posicion,rating
0,The Shawshank Redemption,1994,142,1,9.3
1,The Godfather,1972,175,2,9.2
2,The Dark Knight,2008,152,3,9.0
3,The Godfather Part II,1974,202,4,9.0
4,12 Angry Men,1957,96,5,9.0
5,The Lord of the Rings: The Return of the King,2003,201,6,9.0
6,Schindler's List,1993,195,7,9.0
7,Pulp Fiction,1994,154,8,8.9
8,The Lord of the Rings: The Fellowship of the Ring,2001,178,9,8.9
9,"Il buono, il brutto, il cattivo",1966,182,10,8.8
10,Forrest Gump,1994,142,11,8.8
11,The Lord of the Rings: The Two Towers,2002,179,12,8.8
12,Fight Club,1999,139,13,8.8
13,Inception,2010,148,14,8.8
14,Star Wars: Episode V - The Empire Strikes Back,1980,124,15,8.7
15,The Matrix,1999,136,16,8.7
16,GoodFellas,1990,145,17,8.7
17,Interstellar,2014,169,18,8.7
18,One Flew Over the Cuckoo's Nest,1975,133,19,8.7
19,Se7en,1995,127,20,8.6
20,It's a Wonderful Life,1946,130,21,8.6
21,The Silence of the Lambs,1991,118,22,8.6
22,Shichinin no samurai,1954,207,23,8.6
23,Saving Private Ryan,1998,169,24,8.6
24,Cidade de Deus,2002,130,25,8.6
25,The Green Mile,1999,189,26,8.6
26,La vita è bella,1997,116,27,8.6
27,Terminator 2: Judgment Day,1991,137,28,8.6
28,Star Wars,1977,121,29,8.6
29,Back to the Future,1985,116,30,8.5
30,Sen to Chihiro no kamikakushi,2001,124,31,8.6
31,The Pianist,2002,150,32,8.5
32,Gladiator,2000,155,33,8.5
33,Gisaengchung,2019,132,34,8.5
34,Psycho,1960,109,35,8.5
35,The Lion King,1994,88,36,8.5
36,Hotaru no haka,1988,88,37,8.5
37,The Departed,2006,151,38,8.5
38,Whiplash,2014,106,39,8.5
39,Seppuku,1962,133,40,8.6
40,The Prestige,2006,130,41,8.5
41,American History X,1998,119,42,8.5
42,Léon,1994,110,43,8.5
43,Spider-Man: Across the Spider-Verse,2023,140,44,8.5
44,Casablanca,1942,102,45,8.5
45,The Usual Suspects,1995,106,46,8.5
46,Intouchables,2011,112,47,8.5
47,Nuovo Cinema Paradiso,1988,174,48,8.5
48,Alien,1979,117,49,8.5
49,Modern Times,1936,87,50,8.5
50,Rear Window,1954,112,51,8.5
51,C'era una volta il West,1968,166,52,8.5
52,Django Unchained,2012,165,53,8.5
53,City Lights,1931,87,54,8.5
54,Apocalypse Now,1979,147,55,8.4
55,Dune: Part Two,2024,166,56,8.5
56,WALL·E,2008,98,57,8.4
57,Memento,2000,113,58,8.4
58,Raiders of the Lost Ark,1981,115,59,8.4
59,Das Leben der Anderen,2006,137,60,8.4
60,Avengers: Infinity War,2018,149,61,8.4
61,Sunset Boulevard,1950,110,62,8.4
62,Spider-Man: Into the Spider-Verse,2018,117,63,8.4
63,Witness for the Prosecution,1957,116,64,8.4
64,Paths of Glory,1957,88,65,8.4
65,The Shining,1980,146,66,8.4
66,The Great Dictator,1940,125,67,8.4
67,12th Fail,2023,147,68,8.7
68,Inglourious Basterds,2009,153,69,8.4
69,Aliens,1986,137,70,8.4
70,The Dark Knight Rises,2012,164,71,8.4
71,Coco,2017,105,72,8.4
72,Amadeus,1984,160,73,8.4
73,Toy Story,1995,81,74,8.3
74,Avengers: Endgame,2019,181,75,8.4
75,Good Will Hunting,1997,126,76,8.3
76,Oldeuboi,2003,120,77,8.3
77,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,78,8.3
78,Das Boot,1981,149,79,8.4
79,Braveheart,1995,178,80,8.3
80,American Beauty,1999,122,81,8.3
81,Mononoke-hime,1997,133,82,8.3
82,Tengoku to jigoku,1963,143,83,8.4
83,Kimi no na wa.,2016,106,84,8.4
84,3 Idiots,2009,170,85,8.4
85,Joker,2019,122,86,8.3
86,Once Upon a Time in America,1984,229,87,8.3
87,Capharnaüm,2018,126,88,8.4
88,Singin' in the Rain,1952,103,89,8.3
89,Idi i smotri,1985,142,90,8.3
90,Requiem for a Dream,2000,102,91,8.3
91,Hababam Sinifi: Sinifta Kaldi,1975,95,92,8.7
92,Star Wars: Episode VI - Return of the Jedi,1983,131,93,8.3
93,Toy Story 3,2010,103,94,8.3
94,Jagten,2012,115,95,8.3
95,Ikiru,1952,143,96,8.3
96,Eternal Sunshine of the Spotless Mind,2004,108,97,8.3
97,2001: A Space Odyssey,1968,149,98,8.3
98,Incendies,2010,131,99,8.3
99,Reservoir Dogs,1992,99,100,8.3
100,The Apartment,1960,125,101,8.3
101,Lawrence of Arabia,1962,227,102,8.3
102,Scarface,1983,170,103,8.3
103,Double Indemnity,1944,107,104,8.3
104,Heat,1995,170,105,8.3
105,North by Northwest,1959,136,106,8.3
106,Up,2009,96,107,8.3
107,Citizen Kane,1941,119,108,8.3
108,M - Eine Stadt sucht einen Mörder,1931,117,109,8.3
109,Full Metal Jacket,1987,116,110,8.2
110,Vertigo,1958,128,111,8.2
111,Le fabuleux destin d'Amélie Poulain,2001,122,112,8.3
112,Jodaeiye Nader az Simin,2011,123,113,8.3
113,To Kill a Mockingbird,1962,129,114,8.3
114,Taare Zameen Par,2007,162,115,8.3
115,A Clockwork Orange,1971,136,116,8.2
116,Die Hard,1988,132,117,8.2
117,The Sting,1973,129,118,8.2
118,Indiana Jones and the Last Crusade,1989,127,119,8.2
119,Oppenheimer,2023,180,120,8.3
120,Metropolis,1927,153,121,8.3
121,Snatch,2000,104,122,8.2
122,1917,2019,119,123,8.2
123,L.A. Confidential,1997,138,124,8.2
124,Ladri di biciclette,1948,89,125,8.2
125,Der Untergang,2004,156,126,8.2
126,Dangal,2016,161,127,8.3
127,The Wolf of Wall Street,2013,180,128,8.2
128,Hamilton,2020,160,129,8.3
129,Taxi Driver,1976,114,130,8.2
130,Green Book,2018,130,131,8.2
