,dia,mes,anio,festivo,provincia,comunidad,ambito
0,1,Enero,2025,Año nuevo,Zaragoza,Aragon,nacional
1,6,Enero,2025,Epifanía del Señor,Zaragoza,Aragon,nacional
2,29,Enero,2025,San Valero,Zaragoza,Aragon,local
3,5,Marzo,2025,Cincomarzada,Zaragoza,Aragon,local
4,17,Abril,2025,Jueves Santo,Zaragoza,Aragon,regional
5,18,Abril,2025,Viernes Santo,Zaragoza,Aragon,nacional
6,23,Abril,2025,San Jorge. Día de Aragón,Zaragoza,Aragon,regional
7,1,Mayo,2025,Día del Trabajo,Zaragoza,Aragon,nacional
8,15,Agosto,2025,Asunción de la Virgen,Zaragoza,Aragon,nacional
9,12,Octubre,2025,Fiesta Nacional(se traslada al lunes),Zaragoza,Aragon,regional
10,1,Noviembre,2025,Día de Todos los Santos,Zaragoza,Aragon,nacional
11,6,Diciembre,2025,Día de la Constitución Española,Zaragoza,Aragon,nacional
12,8,Diciembre,2025,Inmaculada Concepción,Zaragoza,Aragon,nacional
13,25,Diciembre,2025,Navidad,Zaragoza,Aragon,nacional
